Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
312.0,1,Alabama,9,35,63,,Nov 07,,,,,,,,Election 2020-1
299.5,6,Alabama,9,39,58,,Oct 28,,,,,,,,Auburn U. at Montgomery-6
275.5,4,Alabama,9,37,57,,Oct 03,,,,,,,,Auburn U. at Montgomery-4
210.5,10,Alabama,9,36,58,,Aug 02,,,,,,,,Morning Consult-10
187.5,8,Alabama,9,41,55,,Jul 09,,,,,,,,Auburn U. at Montgomery-8
 36.0,3,Alabama,9,38,58,,Feb 06,,,,,,,,Mason-Dixon-3
312.0,1,Alaska,3,35,61,,Nov 07,,,,,,,,Election 2020-1
293.5,2,Alaska,3,45,50,,Oct 20,,,,,,,,PPP-2
285.5,6,Alaska,3,39,45,,Oct 14,,,,,,,,Siena Coll.-6
273.5,10,Alaska,3,46,50,,Oct 04,,,,,,,,Alaska Survey Research-10
205.5,2,Alaska,3,44,50,,Jul 24,,,,,,,,PPP-2
189.5,2,Alaska,3,45,48,,Jul 08,,,,,,,,PPP-2
182.0,15,Alaska,3,48,49,,Jul 07,,,,,,,,Alaska Survey Research-15
312.0,1,Arizona,11,52,47,,Nov 07,,,,,,,,Election 2020-1
304.5,2,Arizona,11,48,50,,Oct 31,,,,,,,,AtlasIntel-2
304.5,4,Arizona,11,48,48,,Nov 01,,,,,,,,Marist Coll.-4
304.0,3,Arizona,11,48,46,,Oct 31,,,,,,,,Emerson Coll.-3
304.0,7,Arizona,11,50,48,,Nov 02,,,,,,,,Ipsos-7
302.0,3,Arizona,11,45,49,,Oct 29,,,,,,,,Pulse Opinion Research-3
302.0,5,Arizona,11,49,43,,Oct 30,,,,,,,,Siena Coll.-5
301.5,4,Arizona,11,50,46,,Oct 29,,,,,,,,Redfield and Wilton Strategies-4
300.5,8,Arizona,11,50,46,,Oct 30,,,,,,,,SSRS-8
300.5,10,Arizona,11,48,46,,Oct 31,,,,,,,,Morning Consult-10
298.0,7,Arizona,11,48,46,,Oct 27,,,,,,,,Ipsos-7
297.5,4,Arizona,11,49,43,,Oct 25,,,,,,,,The Justice Collaborative Inst.-4
297.5,4,Arizona,11,49,46,,Oct 25,,,,,,,,OH Predictive Insights-4
295.0,9,Arizona,11,50,45,,Oct 25,,,,,,,,Latino Decisions-9
293.5,10,Arizona,11,50,47,,Oct 24,,,,,,,,Y2 Analytics-10
292.5,2,Arizona,11,48,46,,Oct 19,,,,,,,,Pulse Opinion Research-2
291.5,8,Arizona,11,49,46,,Oct 21,,,,,,,,Ipsos-8
290.5,6,Arizona,11,47,46,,Oct 19,,,,,,,,RMG Research-6
289.5,10,Arizona,11,47,48,,Oct 20,,,,,,,,Morning Consult-10
288.5,4,Arizona,11,50,47,,Oct 16,,,,,,,,YouGov-4
285.5,4,Arizona,11,48,45,,Oct 13,,,,,,,,Redfield and Wilton Strategies-4
285.0,5,Arizona,11,51,44,,Oct 13,,,,,,,,Monmouth U.-5
284.5,8,Arizona,11,50,46,,Oct 14,,,,,,,,Ipsos-8
280.5,10,Arizona,11,49,46,,Oct 11,,,,,,,,Morning Consult-10
280.0,5,Arizona,11,50,47,,Oct 08,,,,,,,,OH Predictive Insights-5
279.5,4,Arizona,11,49,43,,Oct 07,,,,,,,,Redfield and Wilton Strategies-4
277.0,9,Arizona,11,48,46,,Oct 07,,,,,,,,Ipsos-9
276.0,3,Arizona,11,49,41,,Oct 03,,,,,,,,Siena Coll.-3
276.0,9,Arizona,11,48,45,,Oct 06,,,,,,,,Latino Decisions-9
275.5,8,Arizona,11,46,45,,Oct 05,,,,,,,,High Ground Inc.-8
272.0,5,Arizona,11,50,46,,Sep 30,,,,,,,,Suffolk U.-5
270.5,6,Arizona,11,49,45,,Sep 29,,,,,,,,Strategies 360-6
268.5,4,Arizona,11,47,44,,Sep 26,,,,,,,,Redfield and Wilton Strategies-4
261.5,6,Arizona,11,48,49,,Sep 20,,,,,,,,Langer Research-6
258.0,5,Arizona,11,47,42,,Sep 16,,,,,,,,Redfield and Wilton Strategies-5
258.0,7,Arizona,11,47,46,,Sep 17,,,,,,,,Ipsos-7
257.0,5,Arizona,11,48,46,,Sep 15,,,,,,,,Monmouth U.-5
256.5,6,Arizona,11,49,40,,Sep 15,,,,,,,,Siena Coll.-6
254.0,3,Arizona,11,47,44,,Sep 11,,,,,,,,YouGov-3
253.0,3,Arizona,11,52,42,,Sep 10,,,,,,,,OH Predictive Insights-3
249.5,16,Arizona,11,45,40,,Sep 13,,,,,,,,Kaiser/Cook-16
246.5,12,Arizona,11,48,47,,Sep 08,,,,,,,,Benenson Strategy/GS Strategy-12
245.5,6,Arizona,11,48,43,,Sep 04,,,,,,,,Redfield and Wilton Strategies-6
243.5,4,Arizona,11,49,40,,Sep 01,,,,,,,,Fox News-4
238.5,10,Arizona,11,52,42,,Aug 30,,,,,,,,Morning Consult-10
230.0,3,Arizona,11,47,38,,Aug 18,,,,,,,,Redfield and Wilton Strategies-3
222.0,3,Arizona,11,53,47,,Aug 10,,,,,,,,Emerson Coll.-3
216.5,2,Arizona,11,49,45,,Aug 04,,,,,,,,OH Predictive Insights-2
203.5,10,Arizona,11,49,42,,Jul 26,,,,,,,,Morning Consult-10
203.0,5,Arizona,11,46,38,,Jul 23,,,,,,,,Redfield and Wilton Strategies-5
203.0,7,Arizona,11,49,45,,Jul 24,,,,,,,,SSRS-7
200.0,9,Arizona,11,50,45,,Jul 22,,,,,,,,Marist Coll.-9
199.5,2,Arizona,11,49,45,,Jul 18,,,,,,,,PPP-2
190.5,4,Arizona,11,46,46,,Jul 10,,,,,,,,YouGov-4
188.5,2,Arizona,11,49,44,,Jul 07,,,,,,,,OH Predictive Insights-2
167.5,4,Arizona,11,43,39,,Jun 17,,,,,,,,Redfield and Wilton Strategies-4
166.0,3,Arizona,11,49,45,,Jun 15,,,,,,,,Civiqs-3
164.0,9,Arizona,11,48,41,,Jun 16,,,,,,,,Siena Coll.-9
152.5,4,Arizona,11,46,42,,Jun 02,,,,,,,,Fox News-4
141.0,5,Arizona,11,47,45,,May 22,,,,,,,,High Ground Inc.-5
133.0,5,Arizona,11,45,41,,May 14,,,,,,,,Redfield and Wilton Strategies-5
131.0,3,Arizona,11,50,43,,May 11,,,,,,,,OH Predictive Insights-3
 98.5,2,Arizona,11,52,43,,Apr 08,,,,,,,,OH Predictive Insights-2
 72.5,4,Arizona,11,46,43,,Mar 14,,,,,,,,Monmouth U.-4
 72.5,6,Arizona,11,47,46,,Mar 15,,,,,,,,Marist Coll.-6
 68.5,6,Arizona,11,50,42,,Mar 11,,,,,,,,Latino Decisions-6
 63.5,2,Arizona,11,49,43,,Mar 04,,,,,,,,OH Predictive Insights-2
 62.5,2,Arizona,11,48,47,,Mar 03,,,,,,,,PPP-2
 44.0,5,Arizona,11,42,46,,Feb 15,,,,,,,,Climate Nexus-5
  3.0,3,Arizona,11,46,46,,Jan 04,,,,,,,,PPP-3
312.0,1,Arkansas,6,35,63,,Nov 07,,,,,,,,Election 2020-1
289.0,13,Arkansas,6,32,65,,Oct 21,,,,,,,,U. of Arkansas-13
286.0,3,Arkansas,6,34,58,,Oct 13,,,,,,,,Hendrix Coll.-3
161.5,2,Arkansas,6,45,47,,Jun 10,,,,,,,,Hendrix Coll.-2
312.0,1,California,55,65,33,,Nov 07,,,,,,,,Election 2020-1
292.5,6,California,55,65,29,,Oct 21,,,,,,,,U. of Calif. at Berkeley-6
287.5,10,California,55,58,32,,Oct 18,,,,,,,,Public Policy Inst. of Calif.-10
271.0,3,California,55,59,32,,Sep 28,,,,,,,,SurveyUSA-3
264.0,3,California,55,62,28,,Sep 21,,,,,,,,Redfield and Wilton Strategies-3
256.0,7,California,55,67,28,,Sep 15,,,,,,,,U. of Calif. at Berkeley-7
252.5,10,California,55,60,31,,Sep 13,,,,,,,,Public Policy Inst. of Calif.-10
225.0,1,California,55,56,28,,Aug 12,,,,,,,,SurveyUSA-1
222.0,1,California,55,61,25,,Aug 09,,,,,,,,Redfield and Wilton Strategies-1
206.0,7,California,55,67,28,,Jul 27,,,,,,,,U.C. Berkeley-7
142.5,10,California,55,57,33,,May 26,,,,,,,,Public Policy Inst. of Calif.-10
139.5,2,California,55,58,30,,May 19,,,,,,,,SurveyUSA-2
129.5,2,California,55,65,35,,May 09,,,,,,,,Emerson Coll.-2
 88.5,2,California,55,67,29,,Mar 29,,,,,,,,PPP-2
 58.5,8,California,55,62,26,,Mar 02,,,,,,,,AtlasIntel-8
 58.0,3,California,55,59,31,,Feb 28,,,,,,,,YouGov-3
 55.0,5,California,55,60,35,,Feb 26,,,,,,,,SSRS-5
 53.5,6,California,55,58,31,,Feb 25,,,,,,,,U. of California-6
 45.5,4,California,55,57,37,,Feb 16,,,,,,,,SurveyUSA-4
 39.0,15,California,55,60,30,,Feb 15,,,,,,,,YouGov-15
 15.0,3,California,55,59,35,,Jan 16,,,,,,,,SurveyUSA-3
312.0,1,Colorado,9,56,42,,Nov 07,,,,,,,,Election 2020-1
304.5,4,Colorado,9,53,41,,Nov 01,,,,,,,,Keating/Onsight/Melanson-4
300.5,10,Colorado,9,54,41,,Oct 31,,,,,,,,Morning Consult-10
289.5,10,Colorado,9,55,39,,Oct 20,,,,,,,,Morning Consult-10
288.0,5,Colorado,9,55,38,,Oct 16,,,,,,,,RBI Strategies-5
286.5,4,Colorado,9,54,42,,Oct 14,,,,,,,,Civiqs-4
286.0,7,Colorado,9,51,43,,Oct 15,,,,,,,,RMG Research-7
284.5,6,Colorado,9,54,39,,Oct 13,,,,,,,,Keating/Onsight/Melanson-6
281.0,5,Colorado,9,47,38,,Oct 09,,,,,,,,YouGov-5
280.5,10,Colorado,9,54,40,,Oct 11,,,,,,,,Morning Consult-10
277.5,6,Colorado,9,50,40,,Oct 06,,,,,,,,SurveyUSA-6
246.0,7,Colorado,9,50,40,,Sep 05,,,,,,,,Fabrizio Ward/Hart Research-7
238.5,10,Colorado,9,51,41,,Aug 30,,,,,,,,Morning Consult-10
205.5,2,Colorado,9,54,41,,Jul 24,,,,,,,,PPP-2
203.5,10,Colorado,9,52,39,,Jul 26,,,,,,,,Morning Consult-10
181.5,2,Colorado,9,56,39,,Jun 30,,,,,,,,PPP-2
130.0,5,Colorado,9,53,40,,May 11,,,,,,,,Global Strategy-5
105.5,10,Colorado,9,53,35,,Apr 19,,,,,,,,Montana State U.-10
 48.0,5,Colorado,9,46,43,,Feb 19,,,,,,,,Climate Nexus-5
312.0,1,Connecticut,7,59,40,,Nov 07,,,,,,,,Election 2020-1
288.5,14,Connecticut,7,51,26,,Oct 21,,,,,,,,Sacred Heart University-14
142.5,6,Connecticut,7,52,32,,May 24,,,,,,,,SurveyUSA-6
123.0,5,Connecticut,7,56,33,,May 04,,,,,,,,Quinnipiac U.-5
 89.0,11,Connecticut,7,47,34,,Apr 03,,,,,,,,Sacred Heart U.-11
 63.5,18,Connecticut,7,52,36,,Mar 12,,,,,,,,Sacred Heart U.-18
312.0,1,D.C.,3,93,6,,Nov 07,,,,,,,,Election 2020-1
  2.0,1,D.C.,3,93,4,,Jan 02,,,,,,,,Election 2016-1
312.0,1,Delaware,3,59,40,,Nov 07,,,,,,,,Election 2020-1
268.0,7,Delaware,3,54,33,,Sep 27,,,,,,,,U. of Delaware-7
234.5,2,Delaware,3,58,37,,Aug 22,,,,,,,,PPP-2
 17.5,4,Delaware,3,56,40,,Jan 19,,,,,,,,Gonzales Research-4
312.0,1,Florida,29,48,51,,Nov 07,,,,,,,,Election 2020-1
305.0,3,Florida,29,45,43,,Nov 01,,,,,,,,AYTM-3
304.0,3,Florida,29,48,47,,Oct 31,,,,,,,,Pulse Opinion Research-3
304.0,5,Florida,29,47,42,,Nov 01,,,,,,,,Quinnipiac U.-5
303.5,2,Florida,29,49,48,,Oct 30,,,,,,,,St. Pete polls-2
303.5,2,Florida,29,52,46,,Oct 30,,,,,,,,Emerson Coll.-2
303.5,6,Florida,29,50,46,,Nov 01,,,,,,,,Ipsos-6
303.0,3,Florida,29,51,47,,Oct 30,,,,,,,,RMG Research-3
303.0,5,Florida,29,47,44,,Oct 31,,,,,,,,Siena Coll.-5
302.5,2,Florida,29,49,49,,Oct 29,,,,,,,,AtlasIntel-2
302.5,2,Florida,29,52,45,,Oct 29,,,,,,,,PPP-2
301.5,2,Florida,29,50,46,,Oct 28,,,,,,,,Redfield and Wilton Strategies-2
301.5,4,Florida,29,50,47,,Oct 29,,,,,,,,HarrisX-4
300.5,6,Florida,29,48,50,,Oct 29,,,,,,,,Langer Research-6
300.5,10,Florida,29,52,45,,Oct 31,,,,,,,,Morning Consult-10
300.0,3,Florida,29,51,47,,Oct 27,,,,,,,,Marist Coll.-3
300.0,5,Florida,29,51,45,,Oct 28,,,,,,,,Monmouth U.-5
299.0,5,Florida,29,45,42,,Oct 27,,,,,,,,Quinnipiac U.-5
298.5,2,Florida,29,50,48,,Oct 25,,,,,,,,Florida Atlantic U.-2
298.0,7,Florida,29,49,47,,Oct 27,,,,,,,,Ipsos-7
295.5,2,Florida,29,49,47,,Oct 22,,,,,,,,St. Pete polls-2
295.5,4,Florida,29,50,48,,Oct 23,,,,,,,,YouGov-4
295.0,3,Florida,29,50,48,,Oct 22,,,,,,,,RMG Research-3
295.0,9,Florida,29,49,46,,Oct 25,,,,,,,,Latino Decisions-9
295.0,11,Florida,29,48,46,,Oct 26,,,,,,,,YouGov-11
294.5,2,Florida,29,46,50,,Oct 21,,,,,,,,Pulse Opinion Research-2
292.5,4,Florida,29,50,45,,Oct 20,,,,,,,,Citizen Data-4
292.5,4,Florida,29,51,47,,Oct 20,,,,,,,,Civiqs-4
291.5,6,Florida,29,50,46,,Oct 20,,,,,,,,SSRS-6
291.0,7,Florida,29,50,46,,Oct 20,,,,,,,,Ipsos-7
289.5,10,Florida,29,52,45,,Oct 20,,,,,,,,Morning Consult-10
288.0,5,Florida,29,48,47,,Oct 16,,,,,,,,U. of North Florida-5
287.5,4,Florida,29,48,48,,Oct 15,,,,,,,,HarrisX-4
285.5,2,Florida,29,49,47,,Oct 12,,,,,,,,St. Pete polls-2
285.5,4,Florida,29,50,44,,Oct 13,,,,,,,,Redfield and Wilton Strategies-4
285.0,3,Florida,29,51,48,,Oct 12,,,,,,,,Emerson Coll.-3
284.5,8,Florida,29,49,47,,Oct 14,,,,,,,,Ipsos-8
284.0,3,Florida,29,51,47,,Oct 11,,,,,,,,Florida Atlantic U.-3
284.0,5,Florida,29,48,45,,Oct 12,,,,,,,,Mason Dixon-5
283.5,6,Florida,29,47,40,,Oct 12,,,,,,,,Clearview Research-6
280.5,10,Florida,29,51,46,,Oct 11,,,,,,,,Morning Consult-10
280.0,5,Florida,29,48,46,,Oct 08,,,,,,,,RMG Research-5
279.0,3,Florida,29,49,44,,Oct 06,,,,,,,,Redfield and Wilton Strategies-3
277.0,5,Florida,29,51,40,,Oct 05,,,,,,,,Quinnipiac U.-5
277.0,9,Florida,29,49,45,,Oct 07,,,,,,,,Ipsos-9
276.5,4,Florida,29,45,45,,Oct 04,,,,,,,,Suffolk U.-4
276.5,4,Florida,29,51,45,,Oct 04,,,,,,,,U. of North Florida-4
274.5,2,Florida,29,47,42,,Oct 01,,,,,,,,Siena Coll.-2
273.5,6,Florida,29,50,44,,Oct 02,,,,,,,,St. Leo University-6
268.0,3,Florida,29,48,43,,Sep 25,,,,,,,,Redfield and Wilton Strategies-3
265.5,2,Florida,29,50,47,,Sep 22,,,,,,,,St. Pete polls-2
261.5,6,Florida,29,47,51,,Sep 20,,,,,,,,Langer Research-6
260.5,4,Florida,29,48,46,,Sep 18,,,,,,,,YouGov-4
257.5,6,Florida,29,47,47,,Sep 16,,,,,,,,Ipsos-6
257.0,3,Florida,29,47,44,,Sep 14,,,,,,,,Redfield and Wilton Strategies-3
255.5,2,Florida,29,50,50,,Sep 12,,,,,,,,Florida Atlantic U.-2
255.5,4,Florida,29,50,45,,Sep 13,,,,,,,,Monmouth U.-4
251.5,2,Florida,29,50,47,,Sep 08,,,,,,,,St. Pete polls-2
249.5,16,Florida,29,43,42,,Sep 13,,,,,,,,Kaiser/Cook-16
247.5,10,Florida,29,48,46,,Sep 08,,,,,,,,Benenson Strategy/GS Strategy-10
247.0,7,Florida,29,48,48,,Sep 06,,,,,,,,Marist Coll.-7
245.0,5,Florida,29,47,44,,Sep 03,,,,,,,,Redfield and Wilton Strategies-5
243.0,5,Florida,29,48,45,,Sep 01,,,,,,,,Quinnipiac U.-5
238.5,10,Florida,29,49,47,,Aug 30,,,,,,,,Morning Consult-10
236.5,6,Florida,29,50,43,,Aug 26,,,,,,,,Opinium-6
234.5,2,Florida,29,48,44,,Aug 22,,,,,,,,PPP-2
229.0,1,Florida,29,49,41,,Aug 16,,,,,,,,Redfield and Wilton Strategies-1
204.0,3,Florida,29,43,43,,Jul 23,,,,,,,,Zogby Analytics-3
203.5,4,Florida,29,50,46,,Jul 23,,,,,,,,Mason Dixon-4
203.5,10,Florida,29,49,46,,Jul 26,,,,,,,,Morning Consult-10
203.0,7,Florida,29,51,46,,Jul 24,,,,,,,,SSRS-7
202.0,3,Florida,29,48,41,,Jul 21,,,,,,,,Redfield and Wilton Strategies-3
200.0,5,Florida,29,51,38,,Jul 20,,,,,,,,Quinnipiac U.-5
195.5,2,Florida,29,50,44,,Jul 14,,,,,,,,St. Pete polls-2
190.5,4,Florida,29,48,42,,Jul 10,,,,,,,,YouGov-4
173.5,4,Florida,29,49,40,,Jun 23,,,,,,,,Fox News-4
166.5,2,Florida,29,45,41,,Jun 15,,,,,,,,Redfield and Wilton Strategies-2
165.0,11,Florida,29,47,41,,Jun 18,,,,,,,,Siena Coll.-11
162.0,3,Florida,29,51,40,,Jun 11,,,,,,,,TIPP-3
147.5,2,Florida,29,48,47,,May 27,,,,,,,,St. Pete Polls-2
145.0,13,Florida,29,47,44,,May 30,,,,,,,,Cygnal-13
133.0,5,Florida,29,45,43,,May 14,,,,,,,,Redfield and Wilton Strategies-5
131.0,5,Florida,29,53,47,,May 12,,,,,,,,Florida Atlantic U.-5
110.5,4,Florida,29,46,43,,Apr 21,,,,,,,,Fox News-4
109.0,5,Florida,29,46,42,,Apr 20,,,,,,,,Quinnipiac U.-5
107.5,2,Florida,29,48,48,,Apr 17,,,,,,,,St. Pete Polls-2
 93.0,5,Florida,29,46,40,,Apr 04,,,,,,,,U. of North Florida-5
 75.0,3,Florida,29,45,45,,Mar 16,,,,,,,,AtlasIntel-3
 69.0,7,Florida,29,45,48,,Mar 12,,,,,,,,Latino Decisions-7
 66.0,3,Florida,29,49,51,,Mar 07,,,,,,,,Florida Atlantic U.-3
 45.0,9,Florida,29,49,48,,Feb 18,,,,,,,,U. of North Florida-9
 10.5,4,Florida,29,51,49,,Jan 12,,,,,,,,Florida Atlantic U.-4
312.0,1,Georgia,16,48,48,,Nov 07,,,,,,,,Election 2020-1
305.0,3,Georgia,16,52,48,,Nov 01,,,,,,,,AYTM-3
304.5,2,Georgia,16,46,48,,Oct 31,,,,,,,,AtlasIntel-2
304.0,3,Georgia,16,49,49,,Oct 31,,,,,,,,Emerson Coll.-3
301.5,2,Georgia,16,48,46,,Oct 28,,,,,,,,PPP-2
300.5,10,Georgia,16,49,46,,Oct 31,,,,,,,,Morning Consult-10
299.0,5,Georgia,16,50,46,,Oct 27,,,,,,,,Monmouth U.-5
298.5,4,Georgia,16,51,46,,Oct 26,,,,,,,,Civiqs-4
295.5,4,Georgia,16,49,49,,Oct 23,,,,,,,,YouGov-4
292.5,4,Georgia,16,48,44,,Oct 20,,,,,,,,Citizen Data-4
292.5,10,Georgia,16,47,46,,Oct 23,,,,,,,,U. of Georgia.-10
292.0,3,Georgia,16,47,48,,Oct 19,,,,,,,,Emerson Coll.-3
290.0,7,Georgia,16,45,45,,Oct 19,,,,,,,,Siena Coll.-7
289.5,10,Georgia,16,48,48,,Oct 20,,,,,,,,Morning Consult-10
287.5,4,Georgia,16,49,45,,Oct 15,,,,,,,,Opinion Insight-4
284.0,5,Georgia,16,48,46,,Oct 12,,,,,,,,SurveyUSA-5
284.0,5,Georgia,16,51,44,,Oct 12,,,,,,,,Quinnipiac U.-5
282.5,2,Georgia,16,47,46,,Oct 09,,,,,,,,PPP-2
280.5,10,Georgia,16,47,49,,Oct 11,,,,,,,,Morning Consult-10
275.5,10,Georgia,16,46,48,,Oct 06,,,,,,,,U. of Georgia.-10
271.5,4,Georgia,16,50,47,,Sep 29,,,,,,,,Civiqs-4
269.0,5,Georgia,16,50,47,,Sep 27,,,,,,,,Quinnipiac U.-5
268.5,4,Georgia,16,45,44,,Sep 26,,,,,,,,Redfield and Wilton Strategies-4
267.5,4,Georgia,16,46,47,,Sep 25,,,,,,,,YouGov-4
